"","X","ID","Title","country","BLFamilyLatin","common_name","subject.type","Age.Class","toxicant.specific","toxicant.group","sample.type","sample.size","exposed","proportion","BodyMass.Value","Diet.Inv","Diet.Scav","concentration","unit.of.measure","Continent"
"138",138,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Endrin aldehyde","organochlorine insecticides","adipose",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"139",139,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Endrin ketone","organochlorine insecticides","adipose",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"140",140,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Methoxychlor","organochlorine insecticides","adipose",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"141",141,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","b-HCH","organochlorine insecticides","adipose",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"142",142,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Heptachlor","organochlorine insecticides","adipose",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"143",143,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Chlordane","organochlorine insecticides","adipose",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"144",144,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Endosulfan I","organochlorine insecticides","adipose",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"145",145,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Endosulfan II","organochlorine insecticides","adipose",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"146",146,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Aldrin","organochlorine insecticides","adipose",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"147",147,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Endrin","organochlorine insecticides","adipose",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"148",148,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Endrin aldehyde","organochlorine insecticides","adipose",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"149",149,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Endrin ketone","organochlorine insecticides","adipose",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"150",150,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Methoxychlor","organochlorine insecticides","adipose",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"151",151,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","a-HCH","organochlorine insecticides","adipose",1,1,1,390,50,0,0.85,"ng/g","Europe"
"152",152,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","b-HCH","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"153",153,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Lindane","organochlorine insecticides","adipose",1,1,1,390,50,0,26.83,"ng/g","Europe"
"154",154,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","d-HCH","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"155",155,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Total HCHs","organochlorine insecticides","adipose",1,1,1,390,50,0,27.68,"ng/g","Europe"
"156",156,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Heptachlor","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"157",157,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Heptachlor epoxide","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"158",158,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Chlordane","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"159",159,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Endosulfan I","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"160",160,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Endosulfan II","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"161",161,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Endosulfan sulfate","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"162",162,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Aldrin","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"163",163,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Dieldrin","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"164",164,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Endrin","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"165",165,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Endrin aldehyde","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"166",166,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Endrin ketone","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"167",167,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","DDE","organochlorine insecticides","adipose",1,1,1,390,50,0,2174.72,"ng/g","Europe"
"168",168,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","DDD","organochlorine insecticides","adipose",1,1,1,390,50,0,56.01,"ng/g","Europe"
"169",169,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","DDT","organochlorine insecticides","adipose",1,1,1,390,50,0,9.95,"ng/g","Europe"
"170",170,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Methoxychlor","organochlorine insecticides","adipose",1,0,0,390,50,0,NA,"ng/g","Europe"
"171",171,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Total DDTs","organochlorine insecticides","adipose",1,1,1,390,50,0,2240.69,"ng/g","Europe"
"172",172,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Total PCBs","PCBs","adipose",2,2,1,7435.99,0,100,20.82,"ng/g","Europe"
"173",173,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Total PCBs","PCBs","adipose",2,2,1,759.95,10,0,98.31,"ng/g","Europe"
"174",174,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Total PCBs","PCBs","adipose",1,1,1,704.07,10,0,195.09,"ng/g","Europe"
"175",175,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Total PCBs","PCBs","adipose",1,1,1,390,50,0,73.92,"ng/g","Europe"
"176",176,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Endosulfan II","organochlorine insecticides","liver",2,1,0.5,759.95,10,0,0.07,"ng/g","Europe"
"177",177,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","DDD","organochlorine insecticides","liver",2,2,1,759.95,10,0,1.05,"ng/g","Europe"
"178",178,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Endosulfan II","organochlorine insecticides","liver",2,1,0.5,7435.99,0,100,0.14,"ng/g","Europe"
"179",179,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Heptachlor epoxide","organochlorine insecticides","liver",2,2,1,759.95,10,0,2.18,"ng/g","Europe"
"180",180,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Lindane","organochlorine insecticides","liver",2,1,0.5,7435.99,0,100,0.15,"ng/g","Europe"
"181",181,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Endosulfan I","organochlorine insecticides","liver",2,2,1,759.95,10,0,1.92,"ng/g","Europe"
"182",182,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Dieldrin","organochlorine insecticides","liver",2,2,1,759.95,10,0,2.47,"ng/g","Europe"
"183",183,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","b-HCH","organochlorine insecticides","liver",2,1,0.5,7435.99,0,100,0.2,"ng/g","Europe"
"184",184,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Endosulfan sulfate","organochlorine insecticides","liver",2,2,1,759.95,10,0,4.72,"ng/g","Europe"
"185",185,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Endrin","organochlorine insecticides","liver",2,1,0.5,7435.99,0,100,0.26,"ng/g","Europe"
"186",186,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","d-HCH","organochlorine insecticides","liver",2,1,0.5,7435.99,0,100,0.38,"ng/g","Europe"
"187",187,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","DDT","organochlorine insecticides","liver",2,2,1,7435.99,0,100,11.18,"ng/g","Europe"
"188",188,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","d-HCH","organochlorine insecticides","liver",2,2,1,759.95,10,0,6.43,"ng/g","Europe"
"189",189,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Total HCHs","organochlorine insecticides","liver",2,2,1,759.95,10,0,6.43,"ng/g","Europe"
"190",190,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Dieldrin","organochlorine insecticides","liver",2,2,1,7435.99,0,100,5.88,"ng/g","Europe"
"191",191,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","a-HCH","organochlorine insecticides","liver",2,1,0.5,7435.99,0,100,0.42,"ng/g","Europe"
"192",192,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Endosulfan I","organochlorine insecticides","liver",2,1,0.5,7435.99,0,100,0.43,"ng/g","Europe"
"193",193,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","DDD","organochlorine insecticides","liver",2,2,1,7435.99,0,100,8.14,"ng/g","Europe"
"194",194,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Total HCHs","organochlorine insecticides","liver",2,2,1,7435.99,0,100,18.35,"ng/g","Europe"
"195",195,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Heptachlor","organochlorine insecticides","liver",2,1,0.5,7435.99,0,100,0.53,"ng/g","Europe"
"196",196,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Aldrin","organochlorine insecticides","liver",2,2,1,759.95,10,0,5.74,"ng/g","Europe"
"197",197,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","DDT","organochlorine insecticides","liver",2,2,1,759.95,10,0,79.32,"ng/g","Europe"
"198",198,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","DDE","organochlorine insecticides","liver",2,2,1,7435.99,0,100,180.39,"ng/g","Europe"
"199",199,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Total DDTs","organochlorine insecticides","liver",2,2,1,7435.99,0,100,203.37,"ng/g","Europe"
"200",200,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","DDE","organochlorine insecticides","liver",2,2,1,759.95,10,0,17269.14,"ng/g","Europe"
"201",201,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Total DDTs","organochlorine insecticides","liver",2,2,1,759.95,10,0,17349.5,"ng/g","Europe"
"202",202,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Endrin","organochlorine insecticides","liver",2,1,0.5,759.95,10,0,1.56,"ng/g","Europe"
"203",203,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Heptachlor epoxide","organochlorine insecticides","liver",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"204",204,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Chlordane","organochlorine insecticides","liver",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"205",205,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Endosulfan sulfate","organochlorine insecticides","liver",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"206",206,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Aldrin","organochlorine insecticides","liver",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"207",207,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Endrin aldehyde","organochlorine insecticides","liver",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"208",208,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Endrin ketone","organochlorine insecticides","liver",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"209",209,147,"Persistent organochlorine cont","Greece","Accipitridae","Griffon Vulture","wild","unknown/mixed","Methoxychlor","organochlorine insecticides","liver",2,0,0,7435.99,0,100,NA,"ng/g","Europe"
"210",210,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","a-HCH","organochlorine insecticides","liver",1,1,1,704.07,10,0,105.31,"ng/g","Europe"
"211",211,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","b-HCH","organochlorine insecticides","liver",1,1,1,704.07,10,0,1.37,"ng/g","Europe"
"212",212,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Lindane","organochlorine insecticides","liver",1,1,1,704.07,10,0,159.78,"ng/g","Europe"
"213",213,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","d-HCH","organochlorine insecticides","liver",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"214",214,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Total HCHs","organochlorine insecticides","liver",1,1,1,704.07,10,0,266.46,"ng/g","Europe"
"215",215,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Heptachlor","organochlorine insecticides","liver",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"216",216,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Heptachlor epoxide","organochlorine insecticides","liver",1,1,1,704.07,10,0,5.69,"ng/g","Europe"
"217",217,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Chlordane","organochlorine insecticides","liver",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"218",218,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Endosulfan I","organochlorine insecticides","liver",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"219",219,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Endosulfan II","organochlorine insecticides","liver",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"220",220,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Endosulfan sulfate","organochlorine insecticides","liver",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"221",221,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Aldrin","organochlorine insecticides","liver",1,1,1,704.07,10,0,0.56,"ng/g","Europe"
"222",222,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Dieldrin","organochlorine insecticides","liver",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"223",223,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Endrin","organochlorine insecticides","liver",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"224",224,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Endrin aldehyde","organochlorine insecticides","liver",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"225",225,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Endrin ketone","organochlorine insecticides","liver",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"226",226,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","DDE","organochlorine insecticides","liver",1,1,1,704.07,10,0,1395.18,"ng/g","Europe"
"227",227,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","DDD","organochlorine insecticides","liver",1,1,1,704.07,10,0,4.36,"ng/g","Europe"
"228",228,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","DDT","organochlorine insecticides","liver",1,1,1,704.07,10,0,10.84,"ng/g","Europe"
"229",229,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Methoxychlor","organochlorine insecticides","liver",1,0,0,704.07,10,0,NA,"ng/g","Europe"
"230",230,147,"Persistent organochlorine cont","Greece","Accipitridae","Western Marsh-harrier","wild","unknown/mixed","Total DDTs","organochlorine insecticides","liver",1,1,1,704.07,10,0,1410.38,"ng/g","Europe"
"231",231,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","a-HCH","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"232",232,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","b-HCH","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"233",233,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Lindane","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"234",234,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","d-HCH","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"235",235,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Total HCHs","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"236",236,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Heptachlor","organochlorine insecticides","liver",1,1,1,754.37,80,0,44.7,"ng/g","Europe"
"237",237,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Heptachlor epoxide","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"238",238,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Chlordane","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"239",239,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Endosulfan I","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"240",240,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Endosulfan II","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"241",241,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Endosulfan sulfate","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"242",242,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Aldrin","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"243",243,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Dieldrin","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"244",244,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Endrin","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"245",245,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Endrin aldehyde","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"246",246,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Endrin ketone","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"247",247,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","DDE","organochlorine insecticides","liver",1,1,1,754.37,80,0,14.49,"ng/g","Europe"
"248",248,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","DDD","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"249",249,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","DDT","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"250",250,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Methoxychlor","organochlorine insecticides","liver",1,0,0,754.37,80,0,NA,"ng/g","Europe"
"251",251,147,"Persistent organochlorine cont","Greece","Accipitridae","European Honey-buzzard","wild","unknown/mixed","Total DDTs","organochlorine insecticides","liver",1,1,1,754.37,80,0,14.49,"ng/g","Europe"
"252",252,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","a-HCH","organochlorine insecticides","liver",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"253",253,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","b-HCH","organochlorine insecticides","liver",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"254",254,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Lindane","organochlorine insecticides","liver",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"255",255,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Heptachlor","organochlorine insecticides","liver",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"256",256,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Chlordane","organochlorine insecticides","liver",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"257",257,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Endrin aldehyde","organochlorine insecticides","liver",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"258",258,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Endrin ketone","organochlorine insecticides","liver",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"259",259,147,"Persistent organochlorine cont","Greece","Falconidae","Peregrine Falcon","wild","unknown/mixed","Methoxychlor","organochlorine insecticides","liver",2,0,0,759.95,10,0,NA,"ng/g","Europe"
"260",260,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","a-HCH","organochlorine insecticides","liver",1,1,1,390,50,0,0.45,"ng/g","Europe"
"261",261,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","b-HCH","organochlorine insecticides","liver",1,1,1,390,50,0,1.1,"ng/g","Europe"
"262",262,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Lindane","organochlorine insecticides","liver",1,1,1,390,50,0,1.33,"ng/g","Europe"
"263",263,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","d-HCH","organochlorine insecticides","liver",1,1,1,390,50,0,1.49,"ng/g","Europe"
"264",264,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Total HCHs","organochlorine insecticides","liver",1,1,1,390,50,0,4.37,"ng/g","Europe"
"265",265,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Heptachlor","organochlorine insecticides","liver",1,1,1,390,50,0,18.83,"ng/g","Europe"
"266",266,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Heptachlor epoxide","organochlorine insecticides","liver",1,1,1,390,50,0,0.49,"ng/g","Europe"
"267",267,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Chlordane","organochlorine insecticides","liver",1,0,0,390,50,0,NA,"ng/g","Europe"
"268",268,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Endosulfan I","organochlorine insecticides","liver",1,0,0,390,50,0,NA,"ng/g","Europe"
"269",269,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Endosulfan II","organochlorine insecticides","liver",1,0,0,390,50,0,NA,"ng/g","Europe"
"270",270,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Endosulfan sulfate","organochlorine insecticides","liver",1,0,0,390,50,0,NA,"ng/g","Europe"
"271",271,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Aldrin","organochlorine insecticides","liver",1,1,1,390,50,0,5.18,"ng/g","Europe"
"272",272,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Dieldrin","organochlorine insecticides","liver",1,1,1,390,50,0,1.51,"ng/g","Europe"
"273",273,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Endrin","organochlorine insecticides","liver",1,0,0,390,50,0,NA,"ng/g","Europe"
"274",274,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Endrin aldehyde","organochlorine insecticides","liver",1,0,0,390,50,0,NA,"ng/g","Europe"
"275",275,147,"Persistent organochlorine cont","Greece","Falconidae","Eleonora's Falcon","wild","unknown/mixed","Endrin ketone","organochlorine insecticides","liver",1,0,0,390,50,0,NA,"ng/g","Europe"
