"","publication year","Reference","ID","study period","country","English name","scientific name","subject type","toxicant specific","toxicant group","sample type","group","sample size","no. exposed","OR if given, proportion exposed","Age Class","Sex","concentration level estimate type","concentration (ND for non-detects)","Detection limit (if reported)","SD of concentration","minimum","maximum","unit of measure","wet/dry weight?","sublethal effects assessed?","sublethal specific","sublethal type","Notes"
"217",2013,"Bustnes et al. 2013",120,"1986–2005","Norway","Tawny Owl","Strix aluco","wild","Sr","heavy metals","tail feathers/tertials",NA,633,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.111","NA","6.9000000000000006E-2","NA","NA","µg/g","dry","no",NA,NA,NA
"218",2013,"Bustnes et al. 2013",120,"1986–2005","Norway","Tawny Owl","Strix aluco","wild","Th","heavy metals","tail feathers/tertials",NA,633,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","8.0000000000000004E-4","NA","1.1999999999999999E-3","NA","NA","µg/g","dry","no",NA,NA,NA
"219",2013,"Bustnes et al. 2013",120,"1986–2005","Norway","Tawny Owl","Strix aluco","wild","Ti","heavy metals","tail feathers/tertials",NA,380,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.12","NA","0.158","NA","NA","µg/g","dry","no",NA,NA,NA
"220",2013,"Bustnes et al. 2013",120,"1986–2005","Norway","Tawny Owl","Strix aluco","wild","Tl","heavy metals","tail feathers/tertials",NA,633,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","2.9999999999999997E-4","NA","4.0000000000000002E-4","NA","NA","µg/g","dry","no",NA,NA,NA
"221",2013,"Bustnes et al. 2013",120,"1986–2005","Norway","Tawny Owl","Strix aluco","wild","U","heavy metals","tail feathers/tertials",NA,633,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","4.0000000000000002E-4","NA","5.9999999999999995E-4","NA","NA","µg/g","dry","no",NA,NA,NA
"222",2013,"Bustnes et al. 2013",120,"1986–2005","Norway","Tawny Owl","Strix aluco","wild","V","heavy metals","tail feathers/tertials",NA,633,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","7.6E-3","NA","7.1999999999999998E-3","NA","NA","µg/g","dry","no",NA,NA,NA
"223",2013,"Bustnes et al. 2013",120,"1986–2005","Norway","Tawny Owl","Strix aluco","wild","Y","heavy metals","tail feathers/tertials",NA,560,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","1.1000000000000001E-3","NA","2.0999999999999999E-3","NA","NA","µg/g","dry","no",NA,NA,NA
"224",2013,"Bustnes et al. 2013",120,"1986–2005","Norway","Tawny Owl","Strix aluco","wild","Zn","heavy metals","tail feathers/tertials",NA,632,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","90","NA","9.99","NA","NA","µg/g","dry","no",NA,NA,NA
"225",2015,"Carneiro et al. 2015",108,"2012","Portugal","Griffon Vulture","Gyps fulvus","wild","Pb","heavy metals","blood",NA,24,"NA","NA","juvenile","unknown/mixed","arithmetic mean","29.67","NA","13.19","NA","NA","µg/dl","dry","no",NA,NA,NA
"226",2015,"Carneiro et al. 2015",108,"2007-2012","Portugal","Griffon Vulture","Gyps fulvus","rehab","Pb","heavy metals","blood",NA,47,"NA","NA","juvenile","unknown/mixed","arithmetic mean","24.15","NA","15.07","NA","NA","µg/dl","dry","no",NA,NA,NA
"227",2015,"Carneiro et al. 2015",108,"2011","Spain","Griffon Vulture","Gyps fulvus","wild","Pb","heavy metals","blood",NA,30,"NA","NA","adult","unknown/mixed","arithmetic mean","42.22","NA","50.08","NA","NA","µg/dl","dry","no",NA,NA,NA
"228",2015,"Carneiro et al. 2015",108,"2010-2012","Spain","Griffon Vulture","Gyps fulvus","rehab","Pb","heavy metals","blood",NA,20,"NA","NA","juvenile","unknown/mixed","arithmetic mean","25.98","NA","18.04","NA","NA","µg/dl","dry","no",NA,NA,NA
"229",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Pb","heavy metals","hand feathers/ primaries","dead",21,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","5.44","NA","0.78","NA","NA","µg/g","dry","no",NA,NA,NA
"230",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Pb","heavy metals","liver","dead",21,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","1.36","NA","0.11","NA","NA","µg/g","dry","no",NA,NA,NA
"231",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Cd","heavy metals","hand feathers/ primaries","dead",21,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.74","NA","0.17","NA","NA","µg/g","dry","no",NA,NA,NA
"232",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Cd","heavy metals","liver","dead",21,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.45","NA","0.09","NA","NA","µg/g","dry","no",NA,NA,NA
"233",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Cr","heavy metals","hand feathers/ primaries","dead",21,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","3.99","NA","0.52","NA","NA","µg/g","dry","no",NA,NA,NA
"234",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Cr","heavy metals","liver","dead",21,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","1.35","NA","0.09","NA","NA","µg/g","dry","no",NA,NA,NA
"235",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Cu","heavy metals","hand feathers/ primaries","dead",21,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","11.12","NA","1.32","NA","NA","µg/g","dry","no",NA,NA,NA
"236",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Cu","heavy metals","liver","dead",21,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","17.03","NA","2.0699999999999998","NA","NA","µg/g","dry","no",NA,NA,NA
"237",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Hg","heavy metals","hand feathers/ primaries","dead",21,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.91","NA","0.54","NA","NA","µg/g","dry","no",NA,NA,NA
"238",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Hg","heavy metals","liver","dead",21,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.44","NA","0.3","NA","NA","µg/g","dry","no",NA,NA,NA
"239",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Pb","heavy metals","hand feathers/ primaries","live",41,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","5.27","NA","1.22","NA","NA","µg/g","dry","no",NA,NA,NA
"240",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Cd","heavy metals","hand feathers/ primaries","live",41,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.43","NA","0.13","NA","NA","µg/g","dry","no",NA,NA,NA
"241",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Cr","heavy metals","hand feathers/ primaries","live",41,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","3.84","NA","0.48","NA","NA","µg/g","dry","no",NA,NA,NA
"242",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Cu","heavy metals","hand feathers/ primaries","live",41,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","10.75","NA","1.48","NA","NA","µg/g","dry","no",NA,NA,NA
"243",2017,"da Silva et al. 2017",107,NA,"Brazil","Southern Caracara","Caracara plancus","wild","Hg","heavy metals","hand feathers/ primaries","live",41,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.12","NA","0.04","NA","NA","µg/g","dry","no",NA,NA,NA
"244",2003,"Kenntner et al. 2003",109,"1995-2001","Germany","Northern Goshawk","Accipiter gentilis","wild","HCB","organochlorine insecticides","liver",NA,62,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","6.3E-2","NA","0.17799999999999999","1E-3","1.087","ppm","wet","no",NA,NA,NA
"245",2003,"Kenntner et al. 2003",109,"1995-2001","Germany","Northern Goshawk","Accipiter gentilis","wild","g-HCH","organochlorine insecticides","liver",NA,62,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","3.0000000000000001E-3","NA","1.2E-2","ND","0.09","ppm","wet","no",NA,NA,NA
"246",2003,"Kenntner et al. 2003",109,"1995-2001","Germany","Northern Goshawk","Accipiter gentilis","wild","DDT","organochlorine insecticides","liver",NA,62,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","5.5E-2","NA","0.112","ND","0.58299999999999996","ppm","wet","no",NA,NA,NA
"247",2003,"Kenntner et al. 2003",109,"1995-2001","Germany","Northern Goshawk","Accipiter gentilis","wild","DDE","organochlorine insecticides","liver",NA,62,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","7.8620000000000001","NA","17.984999999999999","2.7E-2","97.965000000000003","ppm","wet","no",NA,NA,NA
"248",2003,"Kenntner et al. 2003",109,"1995-2001","Germany","Northern Goshawk","Accipiter gentilis","wild","<U+2211>PCB","PCBs","liver",NA,62,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","6.6070000000000002","NA","13.939","5.8000000000000003E-2","73.385000000000005","ppm","wet","no",NA,NA,NA
"249",2003,"Kenntner et al. 2003",109,"1995-2001","Germany","Northern Goshawk","Accipiter gentilis","wild","Pb","heavy metals","liver",NA,62,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","1.19","NA","6.5389999999999997","2.8000000000000001E-2","50.951000000000001","ppm","wet","no",NA,NA,NA
"250",2003,"Kenntner et al. 2003",109,"1995-2001","Germany","Northern Goshawk","Accipiter gentilis","wild","Hg","heavy metals","liver",NA,62,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.13800000000000001","NA","0.21299999999999999","6.0000000000000001E-3","1.444","ppm","wet","no",NA,NA,NA
"251",2003,"Kenntner et al. 2003",109,"1995-2001","Germany","Northern Goshawk","Accipiter gentilis","wild","Cd","heavy metals","liver",NA,62,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.06","NA","0.106","1E-3","0.79100000000000004","ppm","wet","no",NA,NA,NA
"252",2003,"Kenntner et al. 2003",109,"1995-2001","Germany","Northern Goshawk","Accipiter gentilis","wild","Pb","heavy metals","kidney",NA,62,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.45","NA","1.875","1.7000000000000001E-2","14.609","ppm","wet","no",NA,NA,NA
"253",2003,"Kenntner et al. 2003",109,"1995-2001","Germany","Northern Goshawk","Accipiter gentilis","wild","Hg","heavy metals","kidney",NA,62,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.13800000000000001","NA","0.189","ND","1.17","ppm","wet","no",NA,NA,NA
"254",2003,"Kenntner et al. 2003",109,"1995-2001","Germany","Northern Goshawk","Accipiter gentilis","wild","Cd","heavy metals","kidney",NA,62,"NA","NA","unknown/mixed","unknown/mixed","arithmetic mean","0.221","NA","0.255","1.4E-2","1.097","ppm","wet","no",NA,NA,NA
"255",2014,"Espín et al. 2014",101,"2011","Spain","Griffon Vulture","Gyps fulvus","wild","Cd","heavy metals","blood","Alcoy, Alicante",36,"NA","NA","adult","unknown/mixed","arithmetic mean","1.7999999999999999E-2","NA","2.7E-2","6.0000000000000001E-3","0.161","µg/dl","wet","yes","oxidative stress","Physiological",NA
"256",2014,"Espín et al. 2014",101,"2011","Spain","Griffon Vulture","Gyps fulvus","wild","Pb","heavy metals","blood","Alcoy, Alicante",36,"NA","NA","adult","unknown/mixed","arithmetic mean","15.32","NA","8.2799999999999994","7.03","45.61","µg/dl","wet","yes","oxidative stress","Physiological",NA
"257",2014,"Espín et al. 2014",101,"2011","Spain","Griffon Vulture","Gyps fulvus","wild","Cu","heavy metals","blood","Alcoy, Alicante",36,"NA","NA","adult","unknown/mixed","arithmetic mean","20.39","NA","5.92","13.77","44.41","µg/dl","wet","yes","oxidative stress","Physiological",NA
"258",2014,"Espín et al. 2014",101,"2011","Spain","Griffon Vulture","Gyps fulvus","wild","Zn","heavy metals","blood","Alcoy, Alicante",36,"NA","NA","adult","unknown/mixed","arithmetic mean","332.16","NA","65.400000000000006","248.55","629.82000000000005","µg/dl","wet","yes","oxidative stress","Physiological",NA
"259",2014,"Espín et al. 2014",101,"2011","Spain","Griffon Vulture","Gyps fulvus","wild","Hg","heavy metals","blood","Alcoy, Alicante",36,"NA","NA","adult","unknown/mixed","arithmetic mean","2.27","NA","2.2400000000000002","0.55000000000000004","10.029999999999999","µg/dl","wet","yes","oxidative stress","Physiological",NA
"260",2014,"Espín et al. 2014",101,"2011","Spain","Griffon Vulture","Gyps fulvus","wild","Cd","heavy metals","blood","Cinctorres, Castellon",30,"NA","NA","adult","unknown/mixed","arithmetic mean","2.5000000000000001E-2","NA","4.2999999999999997E-2","6.0000000000000001E-3","0.217","µg/dl","wet","yes","oxidative stress","Physiological",NA
"261",2014,"Espín et al. 2014",101,"2011","Spain","Griffon Vulture","Gyps fulvus","wild","Pb","heavy metals","blood","Cinctorres, Castellon",30,"NA","NA","adult","unknown/mixed","arithmetic mean","41.44","NA","79.5","9.31","362.13","µg/dl","wet","yes","oxidative stress","Physiological",NA
"262",2014,"Espín et al. 2014",101,"2011","Spain","Griffon Vulture","Gyps fulvus","wild","Cu","heavy metals","blood","Cinctorres, Castellon",30,"NA","NA","adult","unknown/mixed","arithmetic mean","26.85","NA","23.11","9.89","134.69999999999999","µg/dl","wet","yes","oxidative stress","Physiological",NA
"263",2014,"Espín et al. 2014",101,"2011","Spain","Griffon Vulture","Gyps fulvus","wild","Zn","heavy metals","blood","Cinctorres, Castellon",30,"NA","NA","adult","unknown/mixed","arithmetic mean","347.12","NA","80.89","146.57","497.95","µg/dl","wet","yes","oxidative stress","Physiological",NA
"264",2014,"Espín et al. 2014",101,"2011","Spain","Griffon Vulture","Gyps fulvus","wild","Hg","heavy metals","blood","Cinctorres, Castellon",30,"NA","NA","adult","unknown/mixed","arithmetic mean","1.72","NA","1.35","0.62","6.75","µg/dl","wet","yes","oxidative stress","Physiological",NA
"265",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cd","heavy metals","hand feathers/ primaries","Budel",2,"NA","NA","juvenile","unknown/mixed","geometric mean","0.4","NA","0.2","NA","0.8","mg/kg-1","dry","no",NA,NA,NA
"266",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cu","heavy metals","hand feathers/ primaries","Budel",2,"NA","NA","juvenile","unknown/mixed","geometric mean","11","NA","3","NA","19","mg/kg-1","dry","no",NA,NA,NA
"267",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Pb","heavy metals","hand feathers/ primaries","Budel",2,"NA","NA","juvenile","unknown/mixed","geometric mean","55","NA","39","NA","117","mg/kg-1","dry","no",NA,NA,NA
"268",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Zn","heavy metals","hand feathers/ primaries","Budel",2,"NA","NA","juvenile","unknown/mixed","geometric mean","67","NA","178","NA","272","mg/kg-1","dry","no",NA,NA,NA
"269",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cd","heavy metals","hand feathers/ primaries","Budel",6,"NA","NA","adult","unknown/mixed","geometric mean","1.8","NA","0.9","NA","5.5","mg/kg-1","dry","no",NA,NA,NA
"270",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cu","heavy metals","hand feathers/ primaries","Budel",6,"NA","NA","adult","unknown/mixed","geometric mean","25","NA","12","NA","85","mg/kg-1","dry","no",NA,NA,NA
"271",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Pb","heavy metals","hand feathers/ primaries","Budel",6,"NA","NA","adult","unknown/mixed","geometric mean","30","NA","36","NA","138","mg/kg-1","dry","no",NA,NA,NA
"272",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Zn","heavy metals","hand feathers/ primaries","Budel",6,"NA","NA","adult","unknown/mixed","geometric mean","143","NA","119","NA","635","mg/kg-1","dry","no",NA,NA,NA
"273",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cd","heavy metals","hand feathers/ primaries","Achterchock",3,"NA","NA","adult","unknown/mixed","geometric mean","0.2","NA","0.8","NA","1.2","mg/kg-1","dry","no",NA,NA,NA
"274",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cu","heavy metals","hand feathers/ primaries","Achterchock",3,"NA","NA","adult","unknown/mixed","geometric mean","10","NA","3","NA","23","mg/kg-1","dry","no",NA,NA,NA
"275",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Pb","heavy metals","hand feathers/ primaries","Achterchock",3,"NA","NA","adult","unknown/mixed","geometric mean","14","NA","20","NA","47","mg/kg-1","dry","no",NA,NA,NA
"276",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Zn","heavy metals","hand feathers/ primaries","Achterchock",3,"NA","NA","adult","unknown/mixed","geometric mean","41","NA","132","NA","209","mg/kg-1","dry","no",NA,NA,NA
"277",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","museum specimen","Cd","heavy metals","hand feathers/ primaries","Museum 1907-1935",8,"NA","NA","adult","unknown/mixed","geometric mean","1.7","NA","0.7","NA","5.2","mg/kg-1","dry","no",NA,NA,NA
"278",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","museum specimen","Cu","heavy metals","hand feathers/ primaries","Museum 1907-1935",8,"NA","NA","adult","unknown/mixed","geometric mean","8","NA","7","NA","26","mg/kg-1","dry","no",NA,NA,NA
"279",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","museum specimen","Pb","heavy metals","hand feathers/ primaries","Museum 1907-1935",8,"NA","NA","adult","unknown/mixed","geometric mean","59","NA","24","NA","206","mg/kg-1","dry","no",NA,NA,NA
"280",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","museum specimen","Zn","heavy metals","hand feathers/ primaries","Museum 1907-1935",8,"NA","NA","adult","unknown/mixed","geometric mean","102","NA","176","NA","489","mg/kg-1","dry","no",NA,NA,NA
"281",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","museum specimen","Cd","heavy metals","hand feathers/ primaries","Museum 1973-1976",4,"NA","NA","adult","unknown/mixed","geometric mean","0.9","NA","1","NA","3.2","mg/kg-1","dry","no",NA,NA,NA
"282",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","museum specimen","Cu","heavy metals","hand feathers/ primaries","Museum 1973-1976",4,"NA","NA","adult","unknown/mixed","geometric mean","35","NA","10","NA","84","mg/kg-1","dry","no",NA,NA,NA
"283",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","museum specimen","Pb","heavy metals","hand feathers/ primaries","Museum 1973-1976",4,"NA","NA","adult","unknown/mixed","geometric mean","37","NA","90","NA","162","mg/kg-1","dry","no",NA,NA,NA
"284",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","museum specimen","Zn","heavy metals","hand feathers/ primaries","Museum 1973-1976",4,"NA","NA","adult","unknown/mixed","geometric mean","92","NA","346","NA","555","mg/kg-1","dry","no",NA,NA,NA
"285",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cd","heavy metals","hand feathers/ primaries","Budel",21,"NA","NA","adult","unknown/mixed","geometric mean","1.5","NA","0.2","NA","5.5","mg/kg-1","dry","no",NA,NA,NA
"286",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cu","heavy metals","hand feathers/ primaries","Budel",21,"NA","NA","adult","unknown/mixed","geometric mean","20","NA","3","NA","85","mg/kg-1","dry","no",NA,NA,NA
"287",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Pb","heavy metals","hand feathers/ primaries","Budel",21,"NA","NA","adult","unknown/mixed","geometric mean","45","NA","12","NA","213","mg/kg-1","dry","no",NA,NA,NA
"288",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Zn","heavy metals","hand feathers/ primaries","Budel",21,"NA","NA","adult","unknown/mixed","geometric mean","125","NA","119","NA","667","mg/kg-1","dry","no",NA,NA,NA
"289",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cd","heavy metals","hand feathers/ primaries","Achterhoek",14,"NA","NA","adult","unknown/mixed","geometric mean","0.7","NA","0.7","NA","2.7","mg/kg-1","dry","no",NA,NA,NA
"290",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cu","heavy metals","hand feathers/ primaries","Achterhoek",14,"NA","NA","adult","unknown/mixed","geometric mean","24","NA","3","NA","93","mg/kg-1","dry","no",NA,NA,NA
"291",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Pb","heavy metals","hand feathers/ primaries","Achterhoek",14,"NA","NA","adult","unknown/mixed","geometric mean","20","NA","15","NA","80","mg/kg-1","dry","no",NA,NA,NA
"292",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Zn","heavy metals","hand feathers/ primaries","Achterhoek",14,"NA","NA","adult","unknown/mixed","geometric mean","176","NA","132","NA","421","mg/kg-1","dry","no",NA,NA,NA
"293",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cd","heavy metals","hand feathers/ primaries","Limburg",11,"NA","NA","adult","unknown/mixed","geometric mean","1","NA","0.9","NA","4.2","mg/kg-1","dry","no",NA,NA,NA
"294",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cu","heavy metals","hand feathers/ primaries","Limburg",11,"NA","NA","adult","unknown/mixed","geometric mean","15","NA","2","NA","51","mg/kg-1","dry","no",NA,NA,NA
"295",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Pb","heavy metals","hand feathers/ primaries","Limburg",11,"NA","NA","adult","unknown/mixed","geometric mean","43","NA","13","NA","138","mg/kg-1","dry","no",NA,NA,NA
"296",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Zn","heavy metals","hand feathers/ primaries","Limburg",11,"NA","NA","adult","unknown/mixed","geometric mean","145","NA","209","NA","635","mg/kg-1","dry","no",NA,NA,NA
"297",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cd","heavy metals","kidney","Budel",3,"NA","NA","unknown","unknown/mixed","geometric mean","6","NA","0.5","NA","12.8","mg/kg-1","dry","no",NA,NA,NA
"298",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cd","heavy metals","liver","Budel",3,"NA","NA","unknown","unknown/mixed","geometric mean","1.7","NA","0.2","NA","3.1","mg/kg-1","dry","no",NA,NA,NA
"299",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cd","heavy metals","kidney","Achterhoek",3,"NA","NA","unknown","unknown/mixed","geometric mean","0.1","NA","0.4","NA","0.6","mg/kg-1","dry","no",NA,NA,NA
"300",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cd","heavy metals","liver","Achterhoek",3,"NA","NA","unknown","unknown/mixed","geometric mean","0.2","NA","0.1","NA","0.9","mg/kg-1","dry","no",NA,NA,NA
"301",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cu","heavy metals","kidney","Budel",3,"NA","NA","unknown","unknown/mixed","geometric mean","3","NA","13","NA","19","mg/kg-1","dry","no",NA,NA,NA
"302",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cu","heavy metals","liver","Budel",3,"NA","NA","unknown","unknown/mixed","geometric mean","22","NA","18","NA","59","mg/kg-1","dry","no",NA,NA,NA
"303",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cu","heavy metals","kidney","Achterhoek",3,"NA","NA","unknown","unknown/mixed","geometric mean","2","NA","14","NA","17","mg/kg-1","dry","no",NA,NA,NA
"304",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Cu","heavy metals","liver","Achterhoek",3,"NA","NA","unknown","unknown/mixed","geometric mean","17","NA","8","NA","106","mg/kg-1","dry","no",NA,NA,NA
"305",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Pb","heavy metals","kidney","Budel",3,"NA","NA","unknown","unknown/mixed","geometric mean","0.2","NA","0.4","NA","0.8","mg/kg-1","dry","no",NA,NA,NA
"306",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Pb","heavy metals","liver","Budel",3,"NA","NA","unknown","unknown/mixed","geometric mean","0.1","NA","0.2","NA","0.3","mg/kg-1","dry","no",NA,NA,NA
"307",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Pb","heavy metals","kidney","Achterhoek",3,"NA","NA","unknown","unknown/mixed","geometric mean","0.3","NA","0.4","NA","0.9","mg/kg-1","dry","no",NA,NA,NA
"308",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Pb","heavy metals","liver","Achterhoek",3,"NA","NA","unknown","unknown/mixed","geometric mean","0.3","NA","0.1","NA","2","mg/kg-1","dry","no",NA,NA,NA
"309",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Zn","heavy metals","kidney","Budel",3,"NA","NA","unknown","unknown/mixed","geometric mean","21","NA","69","NA","109","mg/kg-1","dry","no",NA,NA,NA
"310",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Zn","heavy metals","liver","Budel",3,"NA","NA","unknown","unknown/mixed","geometric mean","99","NA","62","NA","222","mg/kg-1","dry","no",NA,NA,NA
"311",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Zn","heavy metals","kidney","Achterhoek",3,"NA","NA","unknown","unknown/mixed","geometric mean","2","NA","73","NA","76","mg/kg-1","dry","no",NA,NA,NA
"312",1993,"Denneman & Douben 1993",102,"1986-1988","Netherlands","Barn Owl","Tyto alba","wild","Zn","heavy metals","liver","Achterhoek",3,"NA","NA","unknown","unknown/mixed","geometric mean","16","NA","47","NA","299","mg/kg-1","dry","no",NA,NA,NA
